"","FamilyName","GivenName","HonorificPrefix","Age","PasClass_CrewDep","Ticket_Full_No","Fare__Old_Pounds","Fare__Old_Shillings","Fare__Old_Pennies","Fare_in_GBP","PortEmba","Job","Passenger_link","Pict_link","Pict_alt","Boat_Body","Passenger_status","FullName","Website_AgeNo"
"11","ALLISON","Helen Loraine","Miss","2","1st Class Passenger","113781",151,16,NA,151.8,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/loraine-allison.html","https://www.encyclopedia-titanica.org/images/allison_children_thm2.jpg","H. Allison",NA,"Victim","ALLISON, Miss Helen Loraine
",2
"12","ANDERSSON","Ellis Anna Maria","Miss","2","3rd Class Passenger","347082",31,5,NA,31.25,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/ellis-anna-maria-andersson.html",NA,NA,NA,"Victim","ANDERSSON, Miss Ellis Anna Maria
",2
"13","HIRVONEN","Hildur Elisabeth","Miss","2","3rd Class Passenger","3101298",12,5,NA,12.25,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/hildur-hirvonen.html",NA,NA,"15","Victim","HIRVONEN, Miss Hildur Elisabeth
",2
"14","JOSEPH","Anna","Miss","2","3rd Class Passenger","2668",22,7,NA,22.35,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/anna-mary-joseph-peter-joseph.html",NA,NA,"C","Victim","JOSEPH, Miss Anna
",2
"15","NAVRATIL","Edmond Roger","Master","2","2nd Class Passenger","230080",26,NA,NA,26,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/edmond-roger-navratil.html","https://www.encyclopedia-titanica.org/files/1/edmond-navratil.jpg","E. Navratil","D","Victim","NAVRATIL, Master Edmond Roger
",2
"16","PåLSSON","Gösta Leonard","Master","2","3rd Class Passenger","349909",21,1,NA,21.05,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/gosta-leonard-palsson.html","https://www.encyclopedia-titanica.org/images/paulsson_g2_thm.jpg","G. Pålsson",NA,"Victim","PåLSSON, Master Gösta Leonard
",2
"17","PANULA","Urho Abraham","Master","2","3rd Class Passenger","3101295",39,13,NA,39.65,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/urho-abraham-panula.html",NA,NA,NA,"Victim","PANULA, Master Urho Abraham
",2
"18","QUICK","Phyllis May","Miss","2","2nd Class Passenger","26360",26,NA,NA,26,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/phyllis-may-quick.html",NA,NA,"11","Victim","QUICK, Miss Phyllis May
",2
"19","RICE","Eugene Francis","Master","2","3rd Class Passenger","382652",29,2,NA,29.1,"Queenstown",NA,"https://www.encyclopedia-titanica.org/titanic-victim/eugene-francis-rice.html",NA,NA,NA,"Victim","RICE, Master Eugene Francis
",2
"20","ROSBLOM","Salli Helena","Miss","2","3rd Class Passenger","370129",20,4,NA,20.2,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/salli-helena-rosblom.html",NA,NA,NA,"Victim","ROSBLOM, Miss Salli Helena
",2
"21","SKOOG","Margit Elizabeth","Miss","2","3rd Class Passenger","347088",27,18,NA,27.9,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/margit-elizabeth-skoog.html",NA,NA,NA,"Victim","SKOOG, Miss Margit Elizabeth
",2
"22","STRöM","Telma Matilda","Miss","2","3rd Class Passenger","347054",10,9,NA,10.45,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/telma-matilda-strom.html",NA,NA,NA,"Victim","STRöM, Miss Telma Matilda
",2
"23","WELLS","Ralph Lester","Master","2","2nd Class Passenger","29103",23,NA,NA,23,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/ralph-lester-wells.html",NA,NA,"14","Victim","WELLS, Master Ralph Lester
 ",2
"24","ASPLUND","Edvin Rojj Felix","Master","3","3rd Class Passenger","347077",31,7,NA,31.35,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/edvin-rojj-felix-asplund.html","https://www.encyclopedia-titanica.org/images/asplund_felix.jpg","E. Asplund","15","Survivor","ASPLUND, Master Edvin Rojj Felix
",3
"25","BACLINI","Eugenie","Miss","3","3rd Class Passenger","2666",19,5,NA,19.25,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/eugenie-baclini.html",NA,NA,"C","Survivor","BACLINI, Miss Eugenie
",3
"26","COUTTS","Neville Leslie","Master","3","3rd Class Passenger","37671",15,18,NA,15.9,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/leslie-coutts.html","https://www.encyclopedia-titanica.org/images/coutts_nl.jpg","N. Coutts","2","Survivor","COUTTS, Master Neville Leslie
",3
"27","LAROCHE","Simonne Marie Anne Andrée","Miss","3","2nd Class Passenger","2123",41,11,NA,41.55,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/simonne-laroche.html",NA,NA,"14","Survivor","LAROCHE, Miss Simonne Marie Anne Andrée
",3
"28","LEFEBVRE","Ida","Miss","3","3rd Class Passenger","4133",25,9,NA,25.45,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/ida-lefebvre.html",NA,NA,NA,"Survivor","LEFEBVRE, Miss Ida
",3
"29","NAVRATIL","Michel Marcel","Master","3","2nd Class Passenger","230080",26,NA,NA,26,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/michel-marcel-navratil.html","https://www.encyclopedia-titanica.org/files/1/master-michel-navratil.jpg","M. Navratil","D","Survivor","NAVRATIL, Master Michel Marcel
",3
"30","PåLSSON","Stina Viola","Miss","3","3rd Class Passenger","349909",21,1,NA,21.05,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/stina-viola-palsson.html","https://www.encyclopedia-titanica.org/images/paulsson_g.jpg","S. Pålsson",NA,"Survivor","PåLSSON, Miss Stina Viola
",3
"31","RICHARDS","William Rowe","Master","3","2nd Class Passenger","29106",18,15,NA,18.75,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/william-rowe-richards.html","https://www.encyclopedia-titanica.org/images/richards_wr2_thm.jpg","W. Richards","4","Survivor","RICHARDS, Master William Rowe
",3
"32","ANDERSSON","Sigvard Harald Elias","Master","4","3rd Class Passenger","347082",31,5,NA,31.25,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/sigvard-harald-elias-andersson.html",NA,NA,NA,"Victim","ANDERSSON, Master Sigvard Harald Elias
",4
"33","BECKER","Marion Louise","Miss","4","2nd Class Passenger","230136",39,NA,NA,39,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/marion-louise-becker.html",NA,NA,"11","Victim","BECKER, Miss Marion Louise
",4
"34","DODGE","Washington","Master","4","1st Class Passenger","33638",81,17,NA,81.85,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/washington-dodge-jr.html","https://www.encyclopedia-titanica.org/images/dodge_w_jr.jpg","W. Dodge","5","Victim","DODGE, Master Washington
",4
"35","JOHNSON","Harold Theodor","Master","4","3rd Class Passenger","347742",11,2,NA,11.1,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/harold-theodor-johnson.html",NA,NA,"15","Victim","JOHNSON, Master Harold Theodor
",4
"36","JOSEPH","Michael J.","Master","4","3rd Class Passenger","2668",22,7,NA,22.35,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/michael-michael-joseph-peter-joseph.html",NA,NA,"D","Victim","JOSEPH, Master Michael J.
",4
"37","KINK-HEILMANN","Luise Gretchen","Miss","4","3rd Class Passenger","315153",22,NA,NA,22,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/luise-gretchen-kink-heilmann.html","https://www.encyclopedia-titanica.org/images/SA79c_Luise_Kink_Luise_Kink_Anton_Kink_Titanic_survivors_100.jpg","L. Kink-Heilmann","2","Victim","KINK-HEILMANN, Miss Luise Gretchen
",4
"38","MUBaRIK","Halim","Master","4","3rd Class Passenger","2661",15,4,NA,15.2,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/halim-gonios-william-george-moubarek.html",NA,NA,"C","Victim","MUBaRIK, Master Halim
",4
"39","PEACOCK","Treasteall","Miss","4","3rd Class Passenger","3101315",13,15,NA,13.75,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/treasteall-peacock.html",NA,NA,NA,"Victim","PEACOCK, Miss Treasteall
",4
"40","RICE","Arthur","Master","4","3rd Class Passenger","382652",29,2,NA,29.1,"Queenstown",NA,"https://www.encyclopedia-titanica.org/titanic-victim/arthur-rice.html",NA,NA,NA,"Victim","RICE, Master Arthur
",4
"41","SANDSTRöM","Marguerite Rut","Miss","4","3rd Class Passenger","9549",16,14,NA,16.7,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/marguerite-rut-sandstrom.html",NA,NA,"13","Victim","SANDSTRöM, Miss Marguerite Rut
",4
"42","WELLS","Joan","Miss","4","2nd Class Passenger","29103",23,NA,NA,23,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/joan-wells.html","https://www.encyclopedia-titanica.org/images/wells_j_thm.jpg","J. Wells","14","Victim","WELLS, Miss Joan
",4
"43","WEST","Constance Miriam","Miss","4","2nd Class Passenger","34651",27,15,NA,27.75,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/constance-mirium-west.html",NA,NA,"10","Victim","WEST, Miss Constance Miriam
",4
"44","ASPLUND","Lillian Gertrud","Miss","5","3rd Class Passenger","347077",31,7,NA,31.35,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/lillian-gertrud-asplund.html","https://www.encyclopedia-titanica.org/images/thumb/res_1067769847_Lillian_Asplund.jpeg","L. Asplund","15","Survivor","ASPLUND, Miss Lillian Gertrud
",5
"45","ASPLUND","Carl Edgar","Master","5","3rd Class Passenger","347077",31,7,NA,31.35,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/carl-edgar-asplund.html",NA,NA,NA,"Survivor","ASPLUND, Master Carl Edgar
",5
"46","BACLINI","Marie Catherine","Miss","5","3rd Class Passenger","2666",19,5,NA,19.25,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/marie-baclini.html",NA,NA,"C","Survivor","BACLINI, Miss Marie Catherine
",5
"47","KARUN","Manca","Miss","5","3rd Class Passenger","349256",13,8,NA,13.4,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/manca-karun.html","https://www.encyclopedia-titanica.org/images/karun_am_thm.jpg","M. Karun","15","Survivor","KARUN, Miss Manca
",5
"48","LEFEBVRE","Henry","Master","5","3rd Class Passenger","4133",25,9,NA,25.45,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/henry-lefebvre.html",NA,NA,NA,"Survivor","LEFEBVRE, Master Henry
",5
"49","SAGE","Thomas Henry","Master","5","3rd Class Passenger","2343",69,11,NA,69.55,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/thomas-henry-sage.html",NA,NA,NA,"Survivor","SAGE, Master Thomas Henry
",5
"50","SKOOG","Harald","Master","5","3rd Class Passenger","347088",27,18,NA,27.9,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/harald-skoog.html",NA,NA,NA,"Survivor","SKOOG, Master Harald
",5
"51","ANDERSSON","Ebba Iris Alfrida","Miss","6","3rd Class Passenger","347082",31,5,NA,31.25,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/ebba-iris-alfrida-andersson.html",NA,NA,NA,"Victim","ANDERSSON, Miss Ebba Iris Alfrida
",6
"52","HARPER","Annie Jessie","Miss","6","2nd Class Passenger","248727",33,NA,NA,33,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/nina-harper.html","https://www.encyclopedia-titanica.org/images/D428b_Nina_Harper_Nana_100.jpg","A. Harper","11","Victim","HARPER, Miss Annie Jessie
",6
"53","MARTIN","Virginia Ethel","Miss","6","3rd Class Passenger","364516",12,9,NA,12.45,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/virginia-ethel-emanuel.html",NA,NA,"13","Victim","MARTIN, Miss Virginia Ethel
",6
"54","PåLSSON","Paul Folke","Master","6","3rd Class Passenger","349909",21,1,NA,21.05,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/paul-folke-palsson.html",NA,NA,NA,"Victim","PåLSSON, Master Paul Folke
",6
"55","SPEDDEN","Robert Douglas","Master","6","1st Class Passenger","16966",134,10,NA,134.5,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/robert-douglas-spedden.html","https://www.encyclopedia-titanica.org/images/spedden_rd.jpg","R. Spedden","3","Victim","SPEDDEN, Master Robert Douglas
",6
"56","BuLUS","Akar","Master","7","3rd Class Passenger","2678",15,4,NA,15.2,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-victim/akar-boulos.html",NA,NA,NA,"Victim","BuLUS, Master Akar
",7
"57","FORD","Robina Maggie","Miss","7","3rd Class Passenger","6608",34,7,NA,34.35,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/robina-maggie-ford.html",NA,NA,NA,"Victim","FORD, Miss Robina Maggie
",7
"58","HART","Eva Miriam","Miss","7","2nd Class Passenger","13529",26,5,NA,26.25,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/eva-hart.html",NA,NA,"14","Victim","HART, Miss Eva Miriam
",7
"59","JOHNSTON","Catherine Nellie","Miss","7","3rd Class Passenger","6607",23,9,NA,23.45,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/catherine-nellie-johnston.html",NA,NA,NA,"Victim","JOHNSTON, Miss Catherine Nellie
",7
"60","MOOR","Meier","Master","7","3rd Class Passenger","392096",12,9,NA,12.45,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/meier-moor.html",NA,NA,"14","Victim","MOOR, Master Meier
",7
"61","MUBaRIK","Jirjis","Master","7","3rd Class Passenger","2661",15,4,NA,15.2,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/gerios-george-moubarek.html",NA,NA,"C","Victim","MUBaRIK, Master Jirjis
",7
"62","PANULA","Juha Niilo","Master","7","3rd Class Passenger","3101295",39,13,NA,39.65,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/juha-niilo-panula.html",NA,NA,NA,"Victim","PANULA, Master Juha Niilo
",7
"63","RICE","Eric","Master","7","3rd Class Passenger","382652",29,2,NA,29.1,"Queenstown",NA,"https://www.encyclopedia-titanica.org/titanic-victim/eric-rice.html",NA,NA,NA,"Victim","RICE, Master Eric
",7
"64","COLLYER","Marjorie Lottie","Miss","8","2nd Class Passenger","31921",26,5,NA,26.25,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/marjorie-collyer.html","https://www.encyclopedia-titanica.org/files/1/marjorie-collyer.jpg","M. Collyer","14","Survivor","COLLYER, Miss Marjorie Lottie
",8
"65","DAVIES","John Morgan jr","Master","8","2nd Class Passenger","33112",36,15,NA,36.75,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/john-morgan-davies.html",NA,NA,"14","Survivor","DAVIES, Master John Morgan jr
",8
"66","DREW","Marshall Brines","Master","8","2nd Class Passenger","28220",32,10,NA,32.5,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/marshall-brines-drew.html",NA,NA,"10","Survivor","DREW, Master Marshall Brines
",8
"67","JOHNSTON","William Andrew","Master","8","3rd Class Passenger","6607",23,9,NA,23.45,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/william-andrew-johnston.html",NA,NA,NA,"Survivor","JOHNSTON, Master William Andrew
",8
"68","LEFEBVRE","Jeannie","Miss","8","3rd Class Passenger","4133",25,9,NA,25.45,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/jeannie-lefebvre.html",NA,NA,NA,"Survivor","LEFEBVRE, Miss Jeannie
",8
"69","PåLSSON","Torborg Danira","Miss","8","3rd Class Passenger","349909",21,1,NA,21.05,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/torborg-danira-palsson.html",NA,NA,NA,"Survivor","PåLSSON, Miss Torborg Danira
",8
"70","QUICK","Winifred Vera","Miss","8","2nd Class Passenger","26360",26,NA,NA,26,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/winifred-vera-quick.html",NA,NA,"11","Survivor","QUICK, Miss Winifred Vera
",8
"71","RICE","George Hugh","Master","8","3rd Class Passenger","382652",29,2,NA,29.1,"Queenstown",NA,"https://www.encyclopedia-titanica.org/titanic-victim/george-hugh-rice.html",NA,NA,NA,"Survivor","RICE, Master George Hugh
",8
"72","SAGE","Constance Gladys","Miss","8","3rd Class Passenger","2343",69,11,NA,69.55,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/constance-gladys-sage.html",NA,NA,NA,"Survivor","SAGE, Miss Constance Gladys
",8
"73","TU'MAH","Jirjis Yusuf","Master","8","3rd Class Passenger","2650",15,4,NA,15.2,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/georges-youssef-george-thomas-touma.html",NA,NA,"C","Survivor","TU'MAH, Master Jirjis Yusuf
",8
"74","ANDERSSON","Ingeborg Constanzia","Miss","9","3rd Class Passenger","347082",31,5,NA,31.25,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/ingeborg-constanzia-andersson.html",NA,NA,NA,"Victim","ANDERSSON, Miss Ingeborg Constanzia
",9
"75","ASPLUND","Clarence Gustaf Hugo","Master","9","3rd Class Passenger","347077",31,7,NA,31.35,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/clarence-gustaf-hugo-asplund.html",NA,NA,NA,"Victim","ASPLUND, Master Clarence Gustaf Hugo
",9
"76","COUTTS","William Loch ","Master","9","3rd Class Passenger","37671",15,18,NA,15.9,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/william-coutts.html","https://www.encyclopedia-titanica.org/images/coutts_wl.jpg","W. Coutts","2","Victim","COUTTS, Master William Loch 
",9
"77","GOLDSMITH","Frank John William","Master","9","3rd Class Passenger","363291",20,10,NA,20.5,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/frankie-goldsmith.html","https://www.encyclopedia-titanica.org/files/1/frank-goldsmith.jpg","F. Goldsmith","C","Victim","GOLDSMITH, Master Frank John William
",9
"78","GOODWIN","Harold Victor","Master","9","3rd Class Passenger","2144",46,18,NA,46.9,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/harold-victor-goodwin.html","https://www.encyclopedia-titanica.org/images/goodwin_hv.jpg","H. Goodwin",NA,"Victim","GOODWIN, Master Harold Victor
",9
"79","OLSEN","Artur Karl","Master","9","3rd Class Passenger","17368",3,3,NA,3.15,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/artur-karl-olsen.html",NA,NA,"13","Victim","OLSEN, Master Artur Karl
",9
"80","SKOOG","Mabel","Miss","9","3rd Class Passenger","347088",27,18,NA,27.9,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/mabel-skoog.html",NA,NA,NA,"Victim","SKOOG, Miss Mabel
",9
"81","TU'MAH","Mariyam","Miss","9","3rd Class Passenger","2650",15,4,NA,15.2,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/maria-youssef-mary-thomas-touma.html",NA,NA,"C","Victim","TU'MAH, Miss Mariyam
",9
"82","VAN BILLIARD","Walter John","Master","9","3rd Class Passenger","851",14,10,NA,14.5,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/walter-john-van-billiard.html",NA,NA,"[1]","Victim","VAN BILLIARD, Master Walter John
",9
"83","BuLUS","Nur al-'ayn","Miss","10","3rd Class Passenger","2678",15,4,NA,15.2,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-victim/nourelain-boulos.html",NA,NA,NA,"Victim","BuLUS, Miss Nur al-'ayn
",10
"84","LENOX-CONYNGHAM","Dennis Hugh","Master","10","1st Class PassengerCross Channel Passenger","84",3,NA,NA,3,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-biography/dennis-lenox-conyngham.html",NA,NA,NA,"Victim","LENOX-CONYNGHAM, Master Dennis Hugh
",10
"85","RICE","Albert","Master","10","3rd Class Passenger","382652",29,2,NA,29.1,"Queenstown",NA,"https://www.encyclopedia-titanica.org/titanic-victim/albert-rice.html",NA,NA,NA,"Victim","RICE, Master Albert
",10
"86","SAGE","Elizabeth Ada","Miss","10","3rd Class Passenger","2343",69,11,NA,69.55,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/elizabeth-ada-sage.html",NA,NA,NA,"Victim","SAGE, Miss Elizabeth Ada
",10
"87","SEMAN","Betros","Master","10","3rd Class Passenger","2622",4,NA,NA,4,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-victim/betros-seman.html",NA,NA,NA,"Victim","SEMAN, Master Betros
",10
"88","VAN BILLIARD","James William","Master","10","3rd Class Passenger","851",14,10,NA,14.5,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/james-william-van-billiard.html",NA,NA,NA,"Victim","VAN BILLIARD, Master James William
",10
"89","VAN IMPE","Catharina","Miss","10","3rd Class Passenger","345773",24,3,NA,24.15,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/catharina-van-impe.html",NA,NA,NA,"Victim","VAN IMPE, Miss Catharina
",10
"90","ANDERSSON","Sigrid Elisabeth","Miss","11","3rd Class Passenger","347082",31,5,NA,31.25,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/sigrid-elisabeth-andersson.html",NA,NA,NA,"Victim","ANDERSSON, Miss Sigrid Elisabeth
",11
"91","CARTER","William Thornton II","Master","11","1st Class Passenger","113760",120,NA,NA,120,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/william-thornton-carter.html","https://www.encyclopedia-titanica.org/files/146979/thumbnails/william_t_carter_nara_1919_146979_5763.jpg","W. Carter","4","Victim","CARTER, Master William Thornton II
",11
"92","IBRaHiM","Husayn Mahmud Husayn","Mr","11","3rd Class Passenger","2699",18,15,NA,18.75,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-victim/houssein-abilmona.html",NA,NA,NA,"Victim","IBRaHiM, Mr Husayn Mahmud Husayn
",11
"93","LENOX-CONYNGHAM","Eileen","Miss","11","1st Class PassengerCross Channel Passenger","84",3,NA,NA,3,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-biography/eileen-lenox-conyngham.html",NA,NA,NA,"Victim","LENOX-CONYNGHAM, Miss Eileen
",11
"94","NiQuLA YaRID","Ilyas","Master","11","3rd Class Passenger","2651",11,4,NA,11.2,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/elias-louis-garrett-nicola-yarred.html",NA,NA,"C","Victim","NiQuLA YaRID, Master Ilyas
",11
"95","ODELL","Jack","Master","11","1st Class PassengerCross Channel Passenger","84",24,NA,NA,24,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-biography/jack-odell.html",NA,NA,NA,"Victim","ODELL, Master Jack
",11
"96","SKOOG","Karl Thorsten","Master","11","3rd Class Passenger","347088",27,18,NA,27.9,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/karl-thorsten-skoog.html",NA,NA,NA,"Victim","SKOOG, Master Karl Thorsten
",11
"97","BECKER","Ruth Elizabeth","Miss","12","2nd Class Passenger","230136",39,NA,NA,39,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/ruth-elizabeth-becker.html",NA,NA,"13","Survivor","BECKER, Miss Ruth Elizabeth
",12
"98","GOODWIN","Jessie Allis Mary","Miss","12","3rd Class Passenger","2144",46,18,NA,46.9,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/jessie-allis-goodwin.html","https://www.encyclopedia-titanica.org/images/goodwin_ja.jpg","J. Goodwin",NA,"Survivor","GOODWIN, Miss Jessie Allis Mary
",12
"99","LEFEBVRE","Mathilde","Miss","12","3rd Class Passenger","4133",25,9,NA,25.45,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/mathilde-lefebvre.html",NA,NA,NA,"Survivor","LEFEBVRE, Miss Mathilde
",12
"100","SAGE","Anthony William","Master","12","3rd Class Passenger","2343",69,11,NA,69.55,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/anthony-william-sage.html",NA,NA,"[67]","Survivor","SAGE, Master Anthony William
",12
